basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,NZDCAD.i,LONG,2026.01.08 15:11:00,2026.01.08 17:20:00,WITH,UP,0.00492,3,0.79665,0.79714,0.79701,0.79706,0.79706,0.79608,0.79630,0.79630,0.79714,0.79720,0.79714,MT5_ORDER_FILL,0.300000,-0.601137,0.367587,129.00,tp
2,NZDCAD.i,LONG,2026.01.14 01:00:00,2026.01.14 04:32:00,WITH,UP,0.00515,3,0.79697,0.79748,0.79694,0.79744,0.79744,0.79641,0.79649,0.79649,0.79748,0.79748,0.79748,MT5_ORDER_FILL,0.300000,-0.436978,0.302971,212.00,tp
3,NZDCAD.i,LONG,2026.02.04 06:21:00,2026.02.04 07:50:00,WITH,UP,0.00621,2,0.82306,0.82368,0.82317,0.82329,0.82329,0.82267,0.82282,0.82282,0.82368,0.82377,0.82368,MT5_ORDER_FILL,0.200000,-0.133591,0.236601,89.00,tp
4,NZDCAD.i,LONG,2026.02.19 00:10:00,2026.02.19 05:19:00,WITH,UP,0.00564,5,0.81764,0.81820,0.81730,0.81823,0.81823,0.81597,0.81749,0.81749,0.81820,0.81830,0.81820,MT5_ORDER_FILL,0.500000,-1.850080,0.622010,309.00,tp
5,NZDCAD.i,LONG,2026.03.06 15:32:00,2026.03.06 16:43:00,WITH,UP,0.00604,6,0.80145,0.80206,0.80278,0.80294,0.80294,0.79992,0.80008,0.80008,0.80206,0.80180,0.80206,MT5_ORDER_FILL,0.600000,-2.027810,0.743254,71.00,tp
6,NZDCAD.i,LONG,2026.03.18 16:46:00,2026.03.18 18:00:00,WITH,UP,0.00795,2,0.79936,0.80015,0.79967,0.79975,0.79975,0.79895,0.79896,0.79896,0.80015,0.80046,0.80015,MT5_ORDER_FILL,0.200000,-0.132009,0.275333,74.00,tp
7,NZDCAD.i,LONG,2026.03.19 00:22:00,2026.03.19 03:29:00,WITH,UP,0.00809,5,0.79681,0.79762,0.79807,0.79731,0.79731,0.79407,0.79512,0.79512,0.79762,0.79752,0.79762,MT5_ORDER_FILL,0.500000,-1.693030,0.511616,187.00,tp
8,NZDCAD.i,LONG,2026.03.23 14:05:00,2026.03.23 14:06:00,WITH,UP,0.00914,1,0.79753,0.79844,0.79741,0.79753,0.79753,0.79741,0.79753,0.79753,0.79844,0.79929,0.79844,MT5_ORDER_FILL,0.100000,-0.042693,0.230980,1.00,tp
9,NZDCAD.i,LONG,2026.03.26 11:34:00,2026.03.26 17:34:00,WITH,UP,0.00923,2,0.79987,0.80079,0.80026,0.80033,0.80033,0.79941,0.79940,0.79940,0.80079,0.80091,0.80079,MT5_ORDER_FILL,0.200000,-0.233037,0.226534,360.00,tp
10,NZDCAD.i,SHORT,2026.04.14 16:07:00,2026.04.15 00:03:00,WITH,DOWN,0.00675,4,0.81251,0.81183,0.81149,0.81148,0.81148,0.81351,0.81344,0.81344,0.81183,0.81172,0.81183,MT5_ORDER_FILL,0.400000,-0.613152,1.078199,476.00,tp
11,NZDCAD.i,SHORT,2026.04.22 11:33:00,2026.04.22 15:36:00,WITH,DOWN,0.00694,1,0.80712,0.80643,0.80712,0.80712,0.80712,0.80712,0.80712,0.80712,0.80643,0.80653,0.80643,MT5_ORDER_FILL,0.100000,-0.082109,0.105157,243.00,tp
12,NZDCAD.i,SHORT,2026.05.07 12:02:00,2026.05.07 18:26:00,WITH,DOWN,0.00694,3,0.81429,0.81360,0.81369,0.81369,0.81369,0.81508,0.81498,0.81498,0.81360,0.81370,0.81360,MT5_ORDER_FILL,0.300000,-0.504032,0.360023,384.00,tp
13,NZDCAD.i,SHORT,2026.06.12 00:20:00,2026.06.12 00:29:00,WITH,DOWN,0.00719,2,0.81347,0.81275,0.81292,0.81292,0.81292,0.81364,0.81402,0.81402,0.81275,0.81561,0.81275,MT5_ORDER_FILL,0.200000,-0.241868,0.202947,9.00,tp
14,NZDCAD.i,SHORT,2026.06.12 00:29:00,2026.06.12 04:27:00,WITH,DOWN,0.00719,4,0.81360,0.81289,0.81274,0.81274,0.81274,0.81490,0.81470,0.81470,0.81289,0.81304,0.81289,MT5_ORDER_FILL,0.400000,-0.925771,0.414234,238.00,tp
15,NZDCAD.i,SHORT,2026.06.18 10:05:00,2026.06.18 10:32:00,WITH,DOWN,0.00599,1,0.81625,0.81565,0.81625,0.81625,0.81625,0.81625,0.81625,0.81625,0.81565,0.81573,0.81565,MT5_ORDER_FILL,0.100000,-0.018358,0.101802,27.00,tp
16,NZDCAD.i,SHORT,2026.07.01 11:47:00,2026.07.01 13:01:00,WITH,DOWN,0.00438,1,0.80715,0.80671,0.80714,0.80715,0.80715,0.80714,0.80715,0.80715,0.80671,0.80684,0.80671,MT5_ORDER_FILL,0.100000,-0.054820,0.102787,74.00,tp
