basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,NZDCHF.i,LONG,2026.03.17 09:39:00,2026.03.17 12:01:00,WITH,UP,0.00445,3,0.45910,0.45954,0.45953,0.45955,0.45955,0.45866,0.45864,0.45864,0.45954,0.45965,0.45954,MT5_ORDER_FILL,0.300000,-0.445044,0.370870,142.00,tp
2,NZDCHF.i,LONG,2026.04.01 16:32:00,2026.04.01 16:57:00,WITH,UP,0.00380,2,0.45661,0.45699,0.45675,0.45677,0.45677,0.45639,0.45645,0.45645,0.45699,0.45709,0.45699,MT5_ORDER_FILL,0.200000,-0.157853,0.289398,25.00,tp
3,NZDCHF.i,SHORT,2026.04.09 05:02:00,2026.04.09 11:01:00,WITH,DOWN,0.00326,3,0.46143,0.46110,0.46112,0.46113,0.46113,0.46178,0.46175,0.46175,0.46110,0.46114,0.46110,MT5_ORDER_FILL,0.300000,-0.524862,0.322284,359.00,tp
4,NZDCHF.i,SHORT,2026.04.15 15:05:00,2026.04.15 16:31:00,WITH,DOWN,0.00339,1,0.46144,0.46110,0.46144,0.46144,0.46144,0.46144,0.46144,0.46144,0.46110,0.46107,0.46110,MT5_ORDER_FILL,0.100000,-0.041298,0.123894,86.00,tp
5,NZDCHF.i,SHORT,2026.04.22 05:31:00,2026.04.23 07:02:00,WITH,DOWN,0.00340,8,0.46217,0.46183,0.46097,0.46097,0.46097,0.46335,0.46335,0.46335,0.46183,0.46186,0.46183,MT5_ORDER_FILL,0.800000,-3.192240,0.828924,1531.00,tp
6,NZDCHF.i,SHORT,2026.05.04 09:46:00,2026.05.04 13:05:00,WITH,DOWN,0.00351,3,0.46177,0.46142,0.46141,0.46142,0.46142,0.46212,0.46211,0.46211,0.46142,0.46151,0.46142,MT5_ORDER_FILL,0.300000,-0.307956,0.325064,199.00,tp
7,NZDCHF.i,SHORT,2026.05.12 03:42:00,2026.05.12 08:56:00,WITH,DOWN,0.00322,3,0.46431,0.46399,0.46397,0.46397,0.46397,0.46461,0.46469,0.46469,0.46399,0.46404,0.46399,MT5_ORDER_FILL,0.300000,-0.354367,0.354367,314.00,tp
8,NZDCHF.i,SHORT,2026.05.21 18:08:00,2026.05.21 21:54:00,WITH,DOWN,0.00276,4,0.46234,0.46206,0.46193,0.46193,0.46193,0.46276,0.46278,0.46278,0.46206,0.46208,0.46206,MT5_ORDER_FILL,0.400000,-0.636758,0.405210,226.00,tp
9,NZDCHF.i,SHORT,2026.05.29 17:53:00,2026.05.29 17:55:00,WITH,DOWN,0.00309,1,0.46717,0.46686,0.46717,0.46717,0.46717,0.46717,0.46717,0.46717,0.46686,0.46698,0.46686,MT5_ORDER_FILL,0.100000,-0.022690,0.116694,2.00,tp
10,NZDCHF.i,SHORT,2026.06.10 05:52:00,2026.06.10 07:42:00,WITH,DOWN,0.00343,1,0.46495,0.46461,0.46495,0.46495,0.46495,0.46495,0.46495,0.46495,0.46461,0.46464,0.46461,MT5_ORDER_FILL,0.100000,-0.072823,0.107777,110.00,tp
11,NZDCHF.i,SHORT,2026.06.12 17:31:00,2026.06.12 19:00:00,WITH,DOWN,0.00303,2,0.46440,0.46410,0.46426,0.46426,0.46426,0.46456,0.46454,0.46454,0.46410,0.46418,0.46410,MT5_ORDER_FILL,0.200000,-0.138477,0.211012,89.00,tp
12,NZDCHF.i,SHORT,2026.07.01 09:08:00,2026.07.01 17:34:00,WITH,DOWN,0.00237,5,0.45949,0.45925,0.45904,0.45904,0.45904,0.45999,0.45998,0.45998,0.45925,0.45930,0.45925,MT5_ORDER_FILL,0.500000,-1.478041,0.548986,506.00,tp
