time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.05 12:41:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.45798,,,,MT5_ORDER_FILL,,0.00277,0.45642,96.9960,WITH,UP,,0.45828,0,,0.000000,0.000000,david_blocked
2026.01.07 14:15:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46089,,,,MT5_ORDER_FILL,,0.00316,0.45709,91.8522,WITH,UP,,0.46111,0,,0.000000,0.000000,david_blocked
2026.01.07 14:23:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46077,,,,MT5_ORDER_FILL,,0.00316,0.45709,91.2254,WITH,UP,,0.46100,0,,0.000000,0.000000,david_blocked
2026.01.15 11:51:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46022,,,,MT5_ORDER_FILL,,0.00297,0.45908,92.9744,WITH,UP,,0.46042,0,,0.000000,0.000000,david_blocked
2026.02.02 12:58:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46692,,,,MT5_ORDER_FILL,,0.00458,0.46507,93.4358,WITH,UP,,0.46676,0,,0.000000,0.000000,david_blocked
2026.02.09 02:24:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46724,,,,MT5_ORDER_FILL,,0.00489,0.46573,90.9791,WITH,UP,,0.46761,0,,0.000000,0.000000,david_blocked
2026.02.26 09:07:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46330,,,,MT5_ORDER_FILL,,0.00357,0.46241,90.9835,WITH,UP,,0.46350,0,,0.000000,0.000000,david_blocked
2026.03.03 03:56:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46319,,,,MT5_ORDER_FILL,,0.00402,0.46108,94.6807,WITH,UP,,0.46348,0,,0.000000,0.000000,david_blocked
2026.03.03 07:36:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46321,,,,MT5_ORDER_FILL,,0.00402,0.46108,90.1961,WITH,UP,,0.46367,0,,0.000000,0.000000,david_blocked
2026.03.17 09:39:00,NZDCHF.i,BUY_SIGNAL,LONG,0.45953,,,,MT5_ORDER_FILL,,0.00445,0.46041,7.4028,WITH,UP,,0.45951,0,,0.000000,0.000000,signal
2026.03.17 09:39:00,NZDCHF.i,ENTRY,LONG,0.45955,0.45953,0.45955,0.45955,MT5_ORDER_FILL,0.00002,0.00445,0.46041,,WITH,UP,,0.45951,1,0.45955,0.000000,0.000000,entry
2026.03.17 10:05:00,NZDCHF.i,BUY_SIGNAL,LONG,0.45950,,,,MT5_ORDER_FILL,,0.00445,0.46041,6.5289,WITH,UP,,0.45937,1,0.45955,0.000000,0.000000,signal
2026.03.17 10:16:00,NZDCHF.i,GRID_ADD,LONG,0.45911,0.45911,0.45911,0.45911,MT5_ORDER_FILL,0.00000,0.00445,0.46041,,WITH,UP,,0.45933,2,0.45933,-0.098899,0.000000,grid_add
2026.03.17 11:11:00,NZDCHF.i,GRID_ADD,LONG,0.45864,0.45866,0.45864,0.45864,MT5_ORDER_FILL,-0.00002,0.00445,0.46041,,WITH,UP,,0.45883,3,0.45910,-0.310182,0.000000,grid_add
2026.03.17 12:00:00,NZDCHF.i,BUY_SIGNAL,LONG,0.45952,,,,MT5_ORDER_FILL,,0.00445,0.46041,7.5341,WITH,UP,,0.45906,3,0.45910,0.000000,0.000000,signal
2026.03.17 12:01:00,NZDCHF.i,EXIT,LONG,0.45954,0.45954,0.45965,0.45954,MT5_ORDER_FILL,0.00011,0.00445,0.46041,,WITH,UP,,0.45906,3,0.45910,0.300000,0.300000,tp
2026.03.18 20:59:00,NZDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.46111,,,,MT5_ORDER_FILL,,0.00426,0.45975,93.5785,WITH,UP,,0.46129,0,,0.000000,0.300000,david_blocked
2026.04.01 16:32:00,NZDCHF.i,BUY_SIGNAL,LONG,0.45675,,,,MT5_ORDER_FILL,,0.00380,0.45775,6.1895,WITH,UP,,0.45646,0,,0.000000,0.300000,signal
2026.04.01 16:32:00,NZDCHF.i,ENTRY,LONG,0.45677,0.45675,0.45677,0.45677,MT5_ORDER_FILL,0.00002,0.00380,0.45775,,WITH,UP,,0.45646,1,0.45677,0.000000,0.300000,entry
2026.04.01 16:42:00,NZDCHF.i,GRID_ADD,LONG,0.45645,0.45639,0.45645,0.45645,MT5_ORDER_FILL,0.00006,0.00380,0.45775,,WITH,UP,,0.45658,2,0.45661,-0.084188,0.300000,grid_add
2026.04.01 16:57:00,NZDCHF.i,EXIT,LONG,0.45699,0.45699,0.45709,0.45699,MT5_ORDER_FILL,0.00010,0.00380,0.45775,,WITH,UP,,0.45665,2,0.45661,0.200000,0.500000,tp
2026.04.09 05:02:00,NZDCHF.i,SELL_SIGNAL,SHORT,0.46112,,,,MT5_ORDER_FILL,,0.00326,0.45709,92.8928,WITH,DOWN,0.46141,,0,,0.000000,0.500000,signal
2026.04.09 05:02:00,NZDCHF.i,ENTRY,SHORT,0.46113,0.46112,0.46113,0.46113,MT5_ORDER_FILL,0.00001,0.00326,0.45709,,WITH,DOWN,0.46141,,1,0.46113,0.000000,0.500000,entry
2026.04.09 05:55:00,NZDCHF.i,GRID_ADD,SHORT,0.46141,0.46146,0.46141,0.46141,MT5_ORDER_FILL,-0.00005,0.00326,0.45709,,WITH,DOWN,0.46133,,2,0.46127,-0.085942,0.500000,grid_add
2026.04.09 08:10:00,NZDCHF.i,GRID_ADD,SHORT,0.46175,0.46178,0.46175,0.46175,MT5_ORDER_FILL,-0.00003,0.00326,0.45709,,WITH,DOWN,0.46157,,3,0.46143,-0.294659,0.500000,grid_add
2026.04.09 11:01:00,NZDCHF.i,EXIT,SHORT,0.46110,0.46110,0.46114,0.46110,MT5_ORDER_FILL,0.00004,0.00326,0.45709,,WITH,DOWN,0.46134,,3,0.46143,0.300000,0.800000,tp
2026.04.15 15:05:00,NZDCHF.i,SELL_SIGNAL,SHORT,0.46144,,,,MT5_ORDER_FILL,,0.00339,0.46041,91.8936,WITH,DOWN,0.46162,,0,,0.000000,0.800000,signal
2026.04.15 15:05:00,NZDCHF.i,ENTRY,SHORT,0.46144,0.46144,0.46144,0.46144,MT5_ORDER_FILL,0.00000,0.00339,0.46041,,WITH,DOWN,0.46162,,1,0.46144,0.000000,0.800000,entry
2026.04.15 15:11:00,NZDCHF.i,SELL_SIGNAL,SHORT,0.46139,,,,MT5_ORDER_FILL,,0.00339,0.46041,91.4284,WITH,DOWN,0.46156,,1,0.46144,0.000000,0.800000,signal
2026.04.15 16:31:00,NZDCHF.i,EXIT,SHORT,0.46110,0.46110,0.46107,0.46110,MT5_ORDER_FILL,-0.00003,0.00339,0.46041,,WITH,DOWN,0.46123,,1,0.46144,0.100000,0.900000,tp
2026.04.22 05:31:00,NZDCHF.i,SELL_SIGNAL,SHORT,0.46097,,,,MT5_ORDER_FILL,,0.00340,0.45975,96.6855,WITH,DOWN,0.46103,,0,,0.000000,0.900000,signal
2026.04.22 05:31:00,NZDCHF.i,ENTRY,SHORT,0.46097,0.46097,0.46097,0.46097,MT5_ORDER_FILL,0.00000,0.00340,0.45975,,WITH,DOWN,0.46103,,1,0.46097,0.000000,0.900000,entry
