time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.05 15:42:00,NZDJPY.i,BUY_SIGNAL,LONG,90.152,,,,MT5_ORDER_FILL,,0.602,90.427,9.8793,WITH,UP,,90.137,0,,0.000000,0.000000,signal
2026.01.05 15:42:00,NZDJPY.i,ENTRY,LONG,90.155,90.152,90.155,90.155,MT5_ORDER_FILL,0.003,0.602,90.427,,WITH,UP,,90.137,1,90.155,0.000000,0.000000,entry
2026.01.05 15:55:00,NZDJPY.i,EXIT,LONG,90.215,90.215,90.230,90.215,MT5_ORDER_FILL,0.015,0.602,90.427,,WITH,UP,,90.157,1,90.155,0.100000,0.100000,tp
2026.01.06 03:08:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,90.549,,,,MT5_ORDER_FILL,,0.613,90.427,92.8689,WITH,UP,,90.624,0,,0.000000,0.100000,david_blocked
2026.01.13 00:31:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,91.179,,,,MT5_ORDER_FILL,,0.552,90.529,92.4596,WITH,UP,,91.213,0,,0.000000,0.100000,david_blocked
2026.01.19 09:09:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,91.184,,,,MT5_ORDER_FILL,,0.542,91.040,92.5507,WITH,UP,,91.148,0,,0.000000,0.100000,david_blocked
2026.01.20 00:58:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,91.615,,,,MT5_ORDER_FILL,,0.612,91.040,90.2693,WITH,UP,,91.658,0,,0.000000,0.100000,david_blocked
2026.01.29 02:02:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,92.722,,,,MT5_ORDER_FILL,,0.988,92.062,93.4425,WITH,UP,,92.853,0,,0.000000,0.100000,david_blocked
2026.01.30 14:45:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.316,,,,MT5_ORDER_FILL,,1.067,92.982,92.1832,WITH,UP,,93.386,0,,0.000000,0.100000,david_blocked
2026.02.03 04:09:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.521,,,,MT5_ORDER_FILL,,1.122,93.288,93.7594,WITH,UP,,93.585,0,,0.000000,0.100000,david_blocked
2026.02.09 02:03:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,94.572,,,,MT5_ORDER_FILL,,1.119,93.799,93.9110,WITH,UP,,94.809,0,,0.000000,0.100000,david_blocked
2026.02.09 02:08:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,94.610,,,,MT5_ORDER_FILL,,1.119,93.799,92.9486,WITH,UP,,94.765,0,,0.000000,0.100000,david_blocked
2026.02.10 02:54:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,94.375,,,,MT5_ORDER_FILL,,1.114,94.310,91.4155,WITH,UP,,94.440,0,,0.000000,0.100000,david_blocked
2026.02.11 04:39:00,NZDJPY.i,BUY_SIGNAL,LONG,93.201,,,,MT5_ORDER_FILL,,1.153,94.004,7.4481,WITH,UP,,93.155,0,,0.000000,0.100000,signal
2026.02.11 04:39:00,NZDJPY.i,ENTRY,LONG,93.212,93.201,93.212,93.212,MT5_ORDER_FILL,0.011,1.153,94.004,,WITH,UP,,93.155,1,93.212,0.000000,0.100000,entry
2026.02.11 04:58:00,NZDJPY.i,GRID_ADD,LONG,93.095,93.097,93.095,93.095,MT5_ORDER_FILL,-0.002,1.153,94.004,,WITH,UP,,93.160,2,93.154,-0.101492,0.100000,grid_add
2026.02.11 06:29:00,NZDJPY.i,GRID_ADD,LONG,92.986,92.981,92.986,92.986,MT5_ORDER_FILL,0.005,1.153,93.902,,WITH,UP,,93.056,3,93.098,-0.290597,0.100000,grid_add
2026.02.11 06:53:00,NZDJPY.i,GRID_ADD,LONG,92.873,92.866,92.873,92.873,MT5_ORDER_FILL,0.007,1.153,93.902,,WITH,UP,,92.947,4,93.041,-0.584663,0.100000,grid_add
2026.02.11 07:57:00,NZDJPY.i,GRID_ADD,LONG,92.775,92.751,92.775,92.775,MT5_ORDER_FILL,0.024,1.153,93.799,,WITH,UP,,92.798,5,92.988,-0.924705,0.100000,grid_add
2026.02.11 08:17:00,NZDJPY.i,GRID_ADD,LONG,92.657,92.636,92.657,92.657,MT5_ORDER_FILL,0.021,1.153,93.799,,WITH,UP,,92.722,6,92.933,-1.436502,0.100000,grid_add
2026.02.11 12:54:00,NZDJPY.i,EXIT,LONG,93.048,93.048,93.046,93.048,MT5_ORDER_FILL,-0.002,1.153,93.697,,WITH,UP,,92.998,6,92.933,0.600000,0.700000,tp
2026.02.18 10:01:00,NZDJPY.i,BUY_SIGNAL,LONG,92.219,,,,MT5_ORDER_FILL,,1.022,92.369,7.6364,WITH,UP,,92.092,0,,0.000000,0.700000,signal
2026.02.18 10:01:00,NZDJPY.i,ENTRY,LONG,92.226,92.219,92.226,92.226,MT5_ORDER_FILL,0.007,1.022,92.369,,WITH,UP,,92.092,1,92.226,0.000000,0.700000,entry
2026.02.18 10:41:00,NZDJPY.i,EXIT,LONG,92.328,92.328,92.326,92.328,MT5_ORDER_FILL,-0.002,1.022,92.369,,WITH,UP,,92.234,1,92.226,0.100000,0.800000,tp
2026.02.27 11:21:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.504,,,,MT5_ORDER_FILL,,0.830,93.288,91.5704,WITH,UP,,93.491,0,,0.000000,0.800000,david_blocked
2026.03.05 00:34:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.229,,,,MT5_ORDER_FILL,,0.932,92.777,92.1760,WITH,UP,,93.228,0,,0.000000,0.800000,david_blocked
2026.03.05 00:47:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.217,,,,MT5_ORDER_FILL,,0.932,92.777,91.1894,WITH,UP,,93.236,0,,0.000000,0.800000,david_blocked
2026.03.13 00:43:00,NZDJPY.i,BUY_SIGNAL,LONG,93.255,,,,MT5_ORDER_FILL,,0.880,93.799,4.4837,WITH,UP,,93.184,0,,0.000000,0.800000,signal
2026.03.13 00:43:00,NZDJPY.i,ENTRY,LONG,93.316,93.255,93.316,93.316,MT5_ORDER_FILL,0.061,0.880,93.799,,WITH,UP,,93.184,1,93.316,0.000000,0.800000,entry
2026.03.13 00:44:00,NZDJPY.i,GRID_ADD,LONG,93.293,93.228,93.293,93.293,MT5_ORDER_FILL,0.065,0.880,93.799,,WITH,UP,,93.184,2,93.305,-0.026151,0.800000,grid_add
2026.03.13 03:01:00,NZDJPY.i,GRID_ADD,LONG,93.156,93.140,93.156,93.156,MT5_ORDER_FILL,0.016,0.880,93.799,,WITH,UP,,93.199,3,93.255,-0.337692,0.800000,grid_add
2026.03.13 07:20:00,NZDJPY.i,GRID_ADD,LONG,93.063,93.052,93.063,93.063,MT5_ORDER_FILL,0.011,0.880,93.799,,WITH,UP,,93.112,4,93.207,-0.654918,0.800000,grid_add
2026.03.13 08:02:00,NZDJPY.i,GRID_ADD,LONG,92.997,92.964,92.997,92.997,MT5_ORDER_FILL,0.033,0.880,93.799,,WITH,UP,,93.008,5,93.165,-0.955088,0.800000,grid_add
2026.03.13 08:55:00,NZDJPY.i,GRID_ADD,LONG,92.898,92.876,92.898,92.898,MT5_ORDER_FILL,0.022,0.880,93.799,,WITH,UP,,92.909,6,93.120,-1.517908,0.800000,grid_add
2026.03.13 09:25:00,NZDJPY.i,GRID_ADD,LONG,92.803,92.788,92.803,92.803,MT5_ORDER_FILL,0.015,0.880,93.799,,WITH,UP,,92.859,7,93.075,-2.166003,0.800000,grid_add
2026.03.13 09:34:00,NZDJPY.i,GRID_ADD,LONG,92.710,92.700,92.710,92.710,MT5_ORDER_FILL,0.010,0.880,93.799,,WITH,UP,,92.803,8,93.029,-2.906197,0.800000,grid_add
2026.03.13 10:37:00,NZDJPY.i,GRID_ADD,LONG,92.610,92.612,92.610,92.610,MT5_ORDER_FILL,-0.002,0.880,93.799,,WITH,UP,,92.650,9,92.983,-3.815804,0.800000,grid_add
2026.03.13 11:10:00,NZDJPY.i,GRID_ADD,LONG,92.546,92.524,92.546,92.546,MT5_ORDER_FILL,0.022,0.880,93.799,,WITH,UP,,92.573,10,92.939,-4.470722,0.800000,grid_add
2026.03.13 21:25:00,NZDJPY.i,GRID_ADD,LONG,92.440,92.436,92.440,92.440,MT5_ORDER_FILL,0.004,0.880,93.799,,WITH,UP,,92.482,11,92.894,-5.675952,0.800000,grid_add
2026.03.13 22:56:00,NZDJPY.i,GRID_ADD,LONG,92.366,92.349,92.366,92.366,MT5_ORDER_FILL,0.017,0.880,93.697,,WITH,UP,,92.383,12,92.850,-6.601478,0.800000,grid_add
2026.03.13 23:05:00,NZDJPY.i,GRID_ADD,LONG,92.256,92.261,92.256,92.256,MT5_ORDER_FILL,-0.005,0.880,93.697,,WITH,UP,,92.348,13,92.804,-8.102331,0.800000,grid_add
2026.03.16 13:25:00,NZDJPY.i,EXIT,LONG,92.892,92.892,92.896,92.892,MT5_ORDER_FILL,0.004,0.880,92.982,,WITH,UP,,92.827,13,92.804,1.300000,2.100000,tp
2026.03.17 00:35:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.157,,,,MT5_ORDER_FILL,,0.946,92.982,94.1655,WITH,UP,,93.181,0,,0.000000,2.100000,david_blocked
2026.03.17 01:05:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.150,,,,MT5_ORDER_FILL,,0.946,92.982,91.5011,WITH,UP,,93.159,0,,0.000000,2.100000,david_blocked
2026.03.17 09:52:00,NZDJPY.i,BUY_SIGNAL,LONG,92.755,,,,MT5_ORDER_FILL,,0.946,92.880,7.5903,WITH,UP,,92.769,0,,0.000000,2.100000,signal
2026.03.17 09:52:00,NZDJPY.i,ENTRY,LONG,92.763,92.755,92.763,92.763,MT5_ORDER_FILL,0.008,0.946,92.880,,WITH,UP,,92.769,1,92.763,0.000000,2.100000,entry
2026.03.17 11:09:00,NZDJPY.i,GRID_ADD,LONG,92.659,92.668,92.659,92.659,MT5_ORDER_FILL,-0.009,0.946,92.880,,WITH,UP,,92.731,2,92.711,-0.109937,2.100000,grid_add
2026.03.17 11:32:00,NZDJPY.i,BUY_SIGNAL,LONG,92.752,,,,MT5_ORDER_FILL,,0.946,92.880,9.9184,WITH,UP,,92.693,2,92.711,0.000000,2.100000,signal
2026.03.17 11:44:00,NZDJPY.i,EXIT,LONG,92.806,92.806,92.802,92.806,MT5_ORDER_FILL,-0.004,0.946,92.880,,WITH,UP,,92.733,2,92.711,0.200000,2.300000,tp
2026.03.19 17:02:00,NZDJPY.i,BUY_SIGNAL,LONG,92.404,,,,MT5_ORDER_FILL,,0.837,92.777,8.1556,WITH,UP,,92.241,0,,0.000000,2.300000,signal
2026.03.19 17:02:00,NZDJPY.i,ENTRY,LONG,92.415,92.404,92.415,92.415,MT5_ORDER_FILL,0.011,0.837,92.777,,WITH,UP,,92.241,1,92.415,0.000000,2.300000,entry
2026.03.19 17:04:00,NZDJPY.i,GRID_ADD,LONG,92.347,92.331,92.347,92.347,MT5_ORDER_FILL,0.016,0.837,92.777,,WITH,UP,,92.250,2,92.381,-0.081281,2.300000,grid_add
2026.03.19 17:51:00,NZDJPY.i,EXIT,LONG,92.465,92.465,92.502,92.465,MT5_ORDER_FILL,0.037,0.837,92.777,,WITH,UP,,92.402,2,92.381,0.200000,2.500000,tp
2026.03.23 14:05:00,NZDJPY.i,BUY_SIGNAL,LONG,92.360,,,,MT5_ORDER_FILL,,0.856,92.777,2.9623,WITH,UP,,92.049,0,,0.000000,2.500000,signal
2026.03.23 14:05:00,NZDJPY.i,ENTRY,LONG,92.376,92.360,92.376,92.376,MT5_ORDER_FILL,0.016,0.856,92.777,,WITH,UP,,92.049,1,92.376,0.000000,2.500000,entry
2026.03.23 14:06:00,NZDJPY.i,EXIT,LONG,92.462,92.462,92.551,92.462,MT5_ORDER_FILL,0.089,0.856,92.777,,WITH,UP,,92.049,1,92.376,0.100000,2.600000,tp
2026.04.17 09:15:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.826,,,,MT5_ORDER_FILL,,0.688,93.493,90.9440,WITH,UP,,93.878,0,,0.000000,2.600000,david_blocked
2026.04.22 09:53:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,94.179,,,,MT5_ORDER_FILL,,0.736,93.799,93.1567,WITH,UP,,94.190,0,,0.000000,2.600000,david_blocked
2026.04.22 12:57:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,94.181,,,,MT5_ORDER_FILL,,0.736,93.799,90.3983,WITH,UP,,94.243,0,,0.000000,2.600000,david_blocked
2026.04.23 17:07:00,NZDJPY.i,BUY_SIGNAL,LONG,93.757,,,,MT5_ORDER_FILL,,0.677,93.902,6.1217,WITH,UP,,93.704,0,,0.000000,2.600000,signal
2026.04.23 17:07:00,NZDJPY.i,ENTRY,LONG,93.763,93.757,93.763,93.763,MT5_ORDER_FILL,0.006,0.677,93.902,,WITH,UP,,93.704,1,93.763,0.000000,2.600000,entry
2026.04.23 17:24:00,NZDJPY.i,EXIT,LONG,93.831,93.831,93.833,93.831,MT5_ORDER_FILL,0.002,0.677,93.902,,WITH,UP,,93.761,1,93.763,0.100000,2.700000,tp
2026.05.04 06:45:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,92.493,,,,MT5_ORDER_FILL,,0.897,92.266,96.0534,WITH,UP,,92.941,0,,0.000000,2.700000,david_blocked
2026.05.07 15:22:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.455,,,,MT5_ORDER_FILL,,1.041,92.982,94.8189,WITH,UP,,93.509,0,,0.000000,2.700000,david_blocked
2026.05.08 13:44:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.497,,,,MT5_ORDER_FILL,,1.012,93.084,90.9527,WITH,UP,,93.505,0,,0.000000,2.700000,david_blocked
2026.05.12 03:23:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.732,,,,MT5_ORDER_FILL,,1.001,93.186,93.2936,WITH,UP,,93.775,0,,0.000000,2.700000,david_blocked
2026.05.13 06:03:00,NZDJPY.i,SELL_BLOCKED_DAVID,SHORT,93.857,,,,MT5_ORDER_FILL,,0.993,93.391,91.5811,WITH,UP,,93.967,0,,0.000000,2.700000,david_blocked
