time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.13 15:30:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.79801,,,,MT5_ORDER_FILL,,0.00460,0.79739,93.6103,WITH,UP,,0.79892,0,,0.000000,0.000000,david_blocked
2026.01.15 10:04:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.80140,,,,MT5_ORDER_FILL,,0.00461,0.79906,90.2993,WITH,UP,,0.80122,0,,0.000000,0.000000,david_blocked
2026.01.30 02:21:00,USDCHF.i,BUY_SIGNAL,LONG,0.76594,,,,MT5_ORDER_FILL,,0.00917,0.76806,7.5647,WITH,UP,,0.76443,0,,0.000000,0.000000,signal
2026.01.30 02:21:00,USDCHF.i,ENTRY,LONG,0.76599,0.76594,0.76599,0.76599,MT5_ORDER_FILL,0.00005,0.00917,0.76806,,WITH,UP,,0.76443,1,0.76599,0.000000,0.000000,entry
2026.01.30 02:46:00,USDCHF.i,EXIT,LONG,0.76691,0.76691,0.76706,0.76691,MT5_ORDER_FILL,0.00015,0.00917,0.76723,,WITH,UP,,0.76611,1,0.76599,0.100000,0.100000,tp
2026.02.02 02:01:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.77290,,,,MT5_ORDER_FILL,,0.00979,0.76806,90.3917,WITH,UP,,0.77353,0,,0.000000,0.100000,david_blocked
2026.02.10 00:05:00,USDCHF.i,BUY_SIGNAL,LONG,0.76661,,,,MT5_ORDER_FILL,,0.00858,0.77644,5.9734,WITH,UP,,0.76623,0,,0.000000,0.100000,signal
2026.02.10 00:05:00,USDCHF.i,ENTRY,LONG,0.76741,0.76661,0.76741,0.76741,MT5_ORDER_FILL,0.00080,0.00858,0.77644,,WITH,UP,,0.76623,1,0.76741,0.000000,0.100000,entry
2026.02.10 00:06:00,USDCHF.i,GRID_ADD,LONG,0.76717,0.76655,0.76717,0.76717,MT5_ORDER_FILL,0.00062,0.00858,0.77644,,WITH,UP,,0.76623,2,0.76729,-0.027956,0.100000,grid_add
2026.02.10 00:06:00,USDCHF.i,GRID_ADD,LONG,0.76717,0.76569,0.76717,0.76717,MT5_ORDER_FILL,0.00148,0.00858,0.77644,,WITH,UP,,0.76623,3,0.76725,-0.027956,0.100000,grid_add
2026.02.10 00:08:00,USDCHF.i,BUY_SIGNAL,LONG,0.76648,,,,MT5_ORDER_FILL,,0.00858,0.77644,5.9572,WITH,UP,,0.76618,3,0.76725,0.000000,0.100000,signal
2026.02.10 16:00:00,USDCHF.i,GRID_ADD,LONG,0.76479,0.76483,0.76479,0.76479,MT5_ORDER_FILL,-0.00004,0.00858,0.77560,,WITH,UP,,0.76561,4,0.76664,-0.859639,0.100000,grid_add
2026.02.10 16:18:00,USDCHF.i,GRID_ADD,LONG,0.76404,0.76398,0.76404,0.76404,MT5_ORDER_FILL,0.00006,0.00858,0.77560,,WITH,UP,,0.76480,5,0.76612,-1.209086,0.100000,grid_add
2026.02.10 16:33:00,USDCHF.i,GRID_ADD,LONG,0.76309,0.76312,0.76309,0.76309,MT5_ORDER_FILL,-0.00003,0.00858,0.77560,,WITH,UP,,0.76400,6,0.76561,-1.762376,0.100000,grid_add
2026.02.10 18:50:00,USDCHF.i,EXIT,LONG,0.76647,0.76647,0.76650,0.76647,MT5_ORDER_FILL,0.00003,0.00858,0.77225,,WITH,UP,,0.76619,6,0.76561,0.600000,0.700000,tp
2026.02.16 15:45:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.76991,,,,MT5_ORDER_FILL,,0.00640,0.76974,95.3517,WITH,UP,,0.77022,0,,0.000000,0.700000,david_blocked
2026.03.05 00:07:00,USDCHF.i,BUY_SIGNAL,LONG,0.77921,,,,MT5_ORDER_FILL,,0.00673,0.78231,7.5195,WITH,UP,,0.77905,0,,0.000000,0.700000,signal
2026.03.05 00:07:00,USDCHF.i,ENTRY,LONG,0.78055,0.77921,0.78055,0.78055,MT5_ORDER_FILL,0.00134,0.00673,0.78231,,WITH,UP,,0.77905,1,0.78055,0.000000,0.700000,entry
2026.03.05 00:08:00,USDCHF.i,GRID_ADD,LONG,0.78027,0.77988,0.78027,0.78027,MT5_ORDER_FILL,0.00039,0.00673,0.78231,,WITH,UP,,0.77905,2,0.78041,-0.041636,0.700000,grid_add
2026.03.05 00:08:00,USDCHF.i,GRID_ADD,LONG,0.78027,0.77921,0.78027,0.78027,MT5_ORDER_FILL,0.00106,0.00673,0.78231,,WITH,UP,,0.77905,3,0.78036,-0.041636,0.700000,grid_add
2026.03.05 00:09:00,USDCHF.i,BUY_SIGNAL,LONG,0.77927,,,,MT5_ORDER_FILL,,0.00673,0.78231,7.7853,WITH,UP,,0.77906,3,0.78036,0.000000,0.700000,signal
2026.03.05 00:11:00,USDCHF.i,BUY_SIGNAL,LONG,0.77928,,,,MT5_ORDER_FILL,,0.00673,0.78231,8.0397,WITH,UP,,0.77907,3,0.78036,0.000000,0.700000,signal
2026.03.05 02:21:00,USDCHF.i,GRID_ADD,LONG,0.77858,0.77853,0.77858,0.77858,MT5_ORDER_FILL,0.00005,0.00673,0.78231,,WITH,UP,,0.77898,4,0.77992,-0.795539,0.700000,grid_add
2026.03.05 07:37:00,USDCHF.i,EXIT,LONG,0.78059,0.78059,0.78060,0.78059,MT5_ORDER_FILL,0.00001,0.00673,0.78231,,WITH,UP,,0.78019,4,0.77992,0.400000,1.100000,tp
2026.03.13 19:18:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.78944,,,,MT5_ORDER_FILL,,0.00718,0.78147,90.1675,WITH,UP,,0.78956,0,,0.000000,1.100000,david_blocked
2026.03.13 19:30:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.78944,,,,MT5_ORDER_FILL,,0.00718,0.78147,92.2044,WITH,UP,,0.78956,0,,0.000000,1.100000,david_blocked
2026.03.27 15:24:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.79756,,,,MT5_ORDER_FILL,,0.00710,0.79068,94.8041,WITH,UP,,0.79774,0,,0.000000,1.100000,david_blocked
2026.04.06 17:38:00,USDCHF.i,BUY_SIGNAL,LONG,0.79698,,,,MT5_ORDER_FILL,,0.00705,0.79822,8.9156,WITH,UP,,0.79670,0,,0.000000,1.100000,signal
2026.04.06 17:38:00,USDCHF.i,ENTRY,LONG,0.79698,0.79698,0.79698,0.79698,MT5_ORDER_FILL,0.00000,0.00705,0.79822,,WITH,UP,,0.79670,1,0.79698,0.000000,1.100000,entry
2026.04.06 17:46:00,USDCHF.i,BUY_SIGNAL,LONG,0.79710,,,,MT5_ORDER_FILL,,0.00705,0.79822,8.7965,WITH,UP,,0.79663,1,0.79698,0.000000,1.100000,signal
2026.04.06 17:55:00,USDCHF.i,EXIT,LONG,0.79768,0.79768,0.79770,0.79768,MT5_ORDER_FILL,0.00002,0.00705,0.79822,,WITH,UP,,0.79684,1,0.79698,0.100000,1.200000,tp
2026.05.01 00:10:00,USDCHF.i,BUY_SIGNAL,LONG,0.78167,,,,MT5_ORDER_FILL,,0.00588,0.78901,5.9847,WITH,UP,,0.78105,0,,0.000000,1.200000,signal
2026.05.01 00:10:00,USDCHF.i,ENTRY,LONG,0.78149,0.78167,0.78149,0.78149,MT5_ORDER_FILL,-0.00018,0.00588,0.78901,,WITH,UP,,0.78105,1,0.78149,0.000000,1.200000,entry
2026.05.01 00:11:00,USDCHF.i,GRID_ADD,LONG,0.78330,0.78090,0.78330,0.78330,MT5_ORDER_FILL,0.00240,0.00588,0.78901,,WITH,UP,,0.78105,2,0.78240,0.307875,1.200000,grid_add
2026.05.01 01:00:00,USDCHF.i,BUY_SIGNAL,LONG,0.78115,,,,MT5_ORDER_FILL,,0.00588,0.78901,4.3978,WITH,UP,,0.78063,2,0.78240,0.000000,1.200000,signal
2026.05.01 09:34:00,USDCHF.i,EXIT,LONG,0.78298,0.78298,0.78297,0.78298,MT5_ORDER_FILL,-0.00001,0.00588,0.78901,,WITH,UP,,0.78277,2,0.78240,0.200000,1.400000,tp
2026.05.11 00:09:00,USDCHF.i,BUY_SIGNAL,LONG,0.77659,,,,MT5_ORDER_FILL,,0.00583,0.77979,6.5176,WITH,UP,,0.77650,0,,0.000000,1.400000,signal
2026.05.11 00:09:00,USDCHF.i,ENTRY,LONG,0.77817,0.77659,0.77817,0.77817,MT5_ORDER_FILL,0.00158,0.00583,0.77979,,WITH,UP,,0.77650,1,0.77817,0.000000,1.400000,entry
2026.05.11 00:10:00,USDCHF.i,GRID_ADD,LONG,0.77815,0.77759,0.77815,0.77815,MT5_ORDER_FILL,0.00056,0.00583,0.77979,,WITH,UP,,0.77650,2,0.77816,-0.003428,1.400000,grid_add
2026.05.11 00:10:00,USDCHF.i,GRID_ADD,LONG,0.77815,0.77700,0.77815,0.77815,MT5_ORDER_FILL,0.00115,0.00583,0.77979,,WITH,UP,,0.77650,3,0.77816,-0.003428,1.400000,grid_add
2026.05.11 00:55:00,USDCHF.i,GRID_ADD,LONG,0.77821,0.77642,0.77821,0.77821,MT5_ORDER_FILL,0.00179,0.00583,0.77979,,WITH,UP,,0.77667,4,0.77817,0.027425,1.400000,grid_add
2026.05.11 05:59:00,USDCHF.i,EXIT,LONG,0.77875,0.77875,0.77877,0.77875,MT5_ORDER_FILL,0.00002,0.00583,0.77979,,WITH,UP,,0.77858,4,0.77817,0.400000,1.800000,tp
2026.05.12 09:01:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.77904,,,,MT5_ORDER_FILL,,0.00580,0.77896,92.9070,WITH,UP,,0.77955,0,,0.000000,1.800000,david_blocked
2026.05.15 17:05:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.78640,,,,MT5_ORDER_FILL,,0.00469,0.77979,90.8733,WITH,UP,,0.78672,0,,0.000000,1.800000,david_blocked
2026.05.25 14:57:00,USDCHF.i,BUY_SIGNAL,LONG,0.78133,,,,MT5_ORDER_FILL,,0.00440,0.78733,3.7876,WITH,UP,,0.78113,0,,0.000000,1.800000,signal
2026.05.25 14:57:00,USDCHF.i,ENTRY,LONG,0.78135,0.78133,0.78135,0.78135,MT5_ORDER_FILL,0.00002,0.00440,0.78733,,WITH,UP,,0.78113,1,0.78135,0.000000,1.800000,entry
2026.05.25 15:34:00,USDCHF.i,GRID_ADD,LONG,0.78094,0.78091,0.78094,0.78094,MT5_ORDER_FILL,0.00003,0.00440,0.78733,,WITH,UP,,0.78122,2,0.78115,-0.093267,1.800000,grid_add
2026.05.25 16:11:00,USDCHF.i,BUY_SIGNAL,LONG,0.78138,,,,MT5_ORDER_FILL,,0.00440,0.78733,6.0376,WITH,UP,,0.78105,2,0.78115,0.000000,1.800000,signal
2026.05.25 16:16:00,USDCHF.i,EXIT,LONG,0.78158,0.78158,0.78160,0.78158,MT5_ORDER_FILL,0.00002,0.00440,0.78733,,WITH,UP,,0.78114,2,0.78115,0.200000,2.000000,tp
2026.06.11 20:28:00,USDCHF.i,SELL_BLOCKED_DAVID,SHORT,0.80023,,,,MT5_ORDER_FILL,,0.00601,0.79822,93.0080,WITH,UP,,0.80103,0,,0.000000,2.000000,david_blocked
2026.06.17 09:28:00,USDCHF.i,BUY_SIGNAL,LONG,0.79217,,,,MT5_ORDER_FILL,,0.00534,0.79487,3.9245,WITH,UP,,0.79181,0,,0.000000,2.000000,signal
