basket_id,symbol,side,entry_time,exit_time,david_mode,david_direction_at_entry,entry_adr,fills,avg_entry,exit_price,entry_modeled_price,entry_actual_price,entry_accounting_price,last_fill_modeled_price,last_fill_actual_price,last_fill_accounting_price,exit_modeled_price,exit_actual_price,exit_accounting_price,execution_price_mode,net_adr,mae_adr,mfe_adr,duration_minutes,close_reason
1,USDJPY.i,LONG,2026.01.19 02:11:00,2026.01.19 04:10:00,WITH,UP,0.932,5,157.675,157.768,157.858,157.859,157.859,157.486,157.522,157.522,157.768,157.768,157.768,MT5_ORDER_FILL,0.500000,-1.339343,0.528010,119.00,tp
2,USDJPY.i,LONG,2026.03.09 19:37:00,2026.03.09 20:00:00,WITH,UP,1.133,1,158.051,158.164,158.050,158.051,158.051,158.050,158.051,158.051,158.164,158.147,158.164,MT5_ORDER_FILL,0.100000,-0.068826,0.102356,23.00,tp
3,USDJPY.i,LONG,2026.04.01 00:56:00,2026.04.01 03:54:00,WITH,UP,1.293,4,158.697,158.827,158.757,158.857,158.857,158.469,158.467,158.467,158.827,158.826,158.827,MT5_ORDER_FILL,0.400000,-0.747100,0.450889,178.00,tp
4,USDJPY.i,SHORT,2026.04.09 18:32:00,2026.04.09 18:35:00,WITH,DOWN,0.920,1,159.105,159.013,159.103,159.105,159.105,159.103,159.105,159.105,159.013,158.991,159.013,MT5_ORDER_FILL,0.100000,-0.013045,0.135884,3.00,tp
5,USDJPY.i,SHORT,2026.04.10 09:34:00,2026.04.10 12:19:00,WITH,DOWN,0.949,2,159.297,159.202,159.251,159.251,159.251,159.346,159.342,159.342,159.202,159.230,159.202,MT5_ORDER_FILL,0.200000,-0.119098,0.226602,165.00,tp
6,USDJPY.i,SHORT,2026.04.21 20:43:00,2026.04.21 22:14:00,WITH,DOWN,0.926,4,159.333,159.241,159.197,159.194,159.194,159.472,159.470,159.470,159.241,159.309,159.241,MT5_ORDER_FILL,0.400000,-0.681131,0.419905,91.00,tp
7,USDJPY.i,SHORT,2026.04.23 13:34:00,2026.04.23 14:47:00,WITH,DOWN,0.827,1,159.709,159.626,159.707,159.709,159.709,159.707,159.709,159.709,159.626,159.612,159.626,MT5_ORDER_FILL,0.100000,-0.071385,0.119782,73.00,tp
8,USDJPY.i,SHORT,2026.05.08 03:02:00,2026.05.08 11:38:00,WITH,DOWN,1.610,1,156.847,156.686,156.846,156.847,156.847,156.846,156.847,156.847,156.686,156.694,156.686,MT5_ORDER_FILL,0.100000,-0.087572,0.102478,516.00,tp
9,USDJPY.i,SHORT,2026.05.12 08:55:00,2026.05.14 16:45:00,WITH,DOWN,1.640,9,157.525,157.361,156.820,156.823,156.823,158.135,158.120,158.120,157.361,157.798,157.361,MT5_ORDER_FILL,0.900000,-3.534183,1.169726,3350.00,tp
10,USDJPY.i,SHORT,2026.05.26 17:35:00,2026.05.27 02:25:00,WITH,DOWN,0.604,3,159.295,159.235,159.231,159.231,159.231,159.352,159.346,159.346,159.235,159.238,159.235,MT5_ORDER_FILL,0.300000,-0.417149,0.302930,530.00,tp
11,USDJPY.i,SHORT,2026.05.28 07:07:00,2026.05.28 09:14:00,WITH,DOWN,0.557,1,159.576,159.520,159.575,159.576,159.576,159.575,159.576,159.576,159.520,159.523,159.520,MT5_ORDER_FILL,0.100000,-0.035887,0.100484,127.00,tp
12,USDJPY.i,SHORT,2026.06.10 15:13:00,2026.06.10 15:29:00,WITH,DOWN,0.482,1,160.471,160.423,160.469,160.471,160.471,160.469,160.471,160.471,160.423,160.418,160.423,MT5_ORDER_FILL,0.100000,-0.026971,0.109959,16.00,tp
13,USDJPY.i,SHORT,2026.06.16 18:53:00,2026.06.17 00:31:00,WITH,DOWN,0.568,3,160.419,160.362,160.360,160.360,160.360,160.474,160.478,160.478,160.362,160.423,160.362,MT5_ORDER_FILL,0.300000,-0.334448,0.320366,338.00,tp
14,USDJPY.i,SHORT,2026.06.25 10:37:00,2026.06.25 14:51:00,WITH,DOWN,0.680,2,161.839,161.771,161.804,161.803,161.803,161.871,161.876,161.876,161.771,161.824,161.771,MT5_ORDER_FILL,0.200000,-0.322011,0.257315,254.00,tp
15,USDJPY.i,SHORT,2026.06.29 17:00:00,2026.06.30 03:57:00,WITH,DOWN,0.597,10,162.137,162.077,161.857,161.857,161.857,162.394,162.183,162.183,162.077,162.126,162.077,MT5_ORDER_FILL,1.000000,-4.037850,1.426897,657.00,tp
16,USDJPY.i,SHORT,2026.06.30 15:31:00,2026.06.30 15:32:00,WITH,DOWN,0.560,1,162.220,162.164,162.172,162.220,162.220,162.172,162.220,162.220,162.164,162.370,162.164,MT5_ORDER_FILL,0.100000,-0.309205,0.337802,1.00,tp
