time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.19 02:11:00,USDJPY.i,BUY_SIGNAL,LONG,157.858,,,,MT5_ORDER_FILL,,0.932,158.312,7.9765,WITH,UP,,157.637,0,,0.000000,0.000000,signal
2026.01.19 02:11:00,USDJPY.i,ENTRY,LONG,157.859,157.858,157.859,157.859,MT5_ORDER_FILL,0.001,0.932,158.312,,WITH,UP,,157.637,1,157.859,0.000000,0.000000,entry
2026.01.19 02:17:00,USDJPY.i,GRID_ADD,LONG,157.715,157.766,157.715,157.715,MT5_ORDER_FILL,-0.051,0.932,158.312,,WITH,UP,,157.698,2,157.787,-0.154540,0.000000,grid_add
2026.01.19 02:19:00,USDJPY.i,GRID_ADD,LONG,157.710,157.673,157.710,157.710,MT5_ORDER_FILL,0.037,0.932,158.312,,WITH,UP,,157.706,3,157.761,-0.165272,0.000000,grid_add
2026.01.19 02:34:00,USDJPY.i,GRID_ADD,LONG,157.567,157.579,157.567,157.567,MT5_ORDER_FILL,-0.012,0.932,158.312,,WITH,UP,,157.680,4,157.713,-0.625671,0.000000,grid_add
2026.01.19 02:55:00,USDJPY.i,GRID_ADD,LONG,157.522,157.486,157.522,157.522,MT5_ORDER_FILL,0.036,0.932,158.312,,WITH,UP,,157.582,5,157.675,-0.818845,0.000000,grid_add
2026.01.19 04:10:00,USDJPY.i,EXIT,LONG,157.768,157.768,157.768,157.768,MT5_ORDER_FILL,0.000,0.932,158.312,,WITH,UP,,157.695,5,157.675,0.500000,0.500000,tp
2026.01.30 17:55:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,154.322,,,,MT5_ORDER_FILL,,1.545,153.716,94.9477,WITH,UP,,154.542,0,,0.000000,0.500000,david_blocked
2026.02.09 00:06:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,157.024,,,,MT5_ORDER_FILL,,1.435,156.907,94.2747,WITH,UP,,157.239,0,,0.000000,0.500000,david_blocked
2026.02.09 00:13:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,157.051,,,,MT5_ORDER_FILL,,1.435,156.907,90.1980,WITH,UP,,157.206,0,,0.000000,0.500000,david_blocked
2026.03.03 13:50:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,157.758,,,,MT5_ORDER_FILL,,1.215,157.290,93.1230,WITH,UP,,157.897,0,,0.000000,0.500000,david_blocked
2026.03.06 14:39:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,157.889,,,,MT5_ORDER_FILL,,1.155,157.290,92.9801,WITH,UP,,157.964,0,,0.000000,0.500000,david_blocked
2026.03.09 19:37:00,USDJPY.i,BUY_SIGNAL,LONG,158.050,,,,MT5_ORDER_FILL,,1.133,158.184,9.2341,WITH,UP,,158.125,0,,0.000000,0.500000,signal
2026.03.09 19:37:00,USDJPY.i,ENTRY,LONG,158.051,158.050,158.051,158.051,MT5_ORDER_FILL,0.001,1.133,158.184,,WITH,UP,,158.125,1,158.051,0.000000,0.500000,entry
2026.03.09 20:00:00,USDJPY.i,EXIT,LONG,158.164,158.164,158.147,158.164,MT5_ORDER_FILL,-0.017,1.133,158.184,,WITH,UP,,158.054,1,158.051,0.100000,0.600000,tp
2026.03.11 03:13:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,157.973,,,,MT5_ORDER_FILL,,1.066,157.801,93.9533,WITH,UP,,158.105,0,,0.000000,0.600000,david_blocked
2026.03.11 17:00:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,158.382,,,,MT5_ORDER_FILL,,1.066,157.801,90.4436,WITH,UP,,158.564,0,,0.000000,0.600000,david_blocked
2026.03.11 17:05:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,158.448,,,,MT5_ORDER_FILL,,1.066,157.801,90.0990,WITH,UP,,158.536,0,,0.000000,0.600000,david_blocked
2026.03.11 17:11:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,158.484,,,,MT5_ORDER_FILL,,1.066,157.801,90.1411,WITH,UP,,158.521,0,,0.000000,0.600000,david_blocked
2026.03.12 03:57:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,158.951,,,,MT5_ORDER_FILL,,1.029,157.929,94.7010,WITH,UP,,159.074,0,,0.000000,0.600000,david_blocked
2026.03.12 19:19:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,159.225,,,,MT5_ORDER_FILL,,1.029,158.312,90.1623,WITH,UP,,159.230,0,,0.000000,0.600000,david_blocked
2026.03.12 19:33:00,USDJPY.i,SELL_BLOCKED_DAVID,SHORT,159.224,,,,MT5_ORDER_FILL,,1.029,158.312,90.2876,WITH,UP,,159.224,0,,0.000000,0.600000,david_blocked
2026.04.01 00:56:00,USDJPY.i,BUY_SIGNAL,LONG,158.757,,,,MT5_ORDER_FILL,,1.293,159.716,6.1240,WITH,UP,,158.732,0,,0.000000,0.600000,signal
2026.04.01 00:56:00,USDJPY.i,ENTRY,LONG,158.857,158.757,158.857,158.857,MT5_ORDER_FILL,0.100,1.293,159.716,,WITH,UP,,158.732,1,158.857,0.000000,0.600000,entry
2026.04.01 00:57:00,USDJPY.i,GRID_ADD,LONG,158.874,158.728,158.874,158.874,MT5_ORDER_FILL,0.146,1.293,159.716,,WITH,UP,,158.732,2,158.865,0.013148,0.600000,grid_add
