"tag","from","to","done","birth_time","direction","anchor_location","sleeve","add_policy","q_profile_id","spacing_q","add_count","divergent_add_count","first_add_time","first_add_policy","first_add_birth_snapshot","first_divergent_add_time","first_divergent_current_direction","first_divergent_current_sleeve","first_divergent_current_variant_id","first_divergent_frozen_direction","first_divergent_frozen_sleeve","first_divergent_frozen_variant_id","first_divergent_add_policy","receipt","summary"
"scan_20250101","2025-01-01","2025-01-11","True","2025.01.02 00:00:00","SHORT","BELOW","CONTINUATION","continuation_add_lower","MEDIUM_50000","0.10","2","0","2025.01.02 00:10:00","continuation_add_lower","in_memory","","","","","","","","","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250101\LimniPortfolioEA_EightcapGlobal_Live_1735689600_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250101\LimniPortfolioEA_EightcapGlobal_Live_1735689600_summary.csv"
"scan_20250201","2025-02-01","2025-02-11","True","2025.02.03 00:00:00","SHORT","BELOW","CONTINUATION","continuation_add_lower","MEDIUM_50000","0.10","20","0","2025.02.03 00:05:00","continuation_add_lower","in_memory","","","","","","","","","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250201\LimniPortfolioEA_EightcapGlobal_Live_1738368000_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250201\LimniPortfolioEA_EightcapGlobal_Live_1738368000_summary.csv"
"scan_20250301","2025-03-01","2025-03-11","True","2025.03.03 00:00:00","LONG","BELOW","REVERSION","reversion_add_lower","MEDIUM_50000","0.10","120","46","2025.03.03 00:04:00","reversion_add_lower","in_memory","2025.03.03 21:53:00","SHORT","CONTINUATION","10","LONG","REVERSION","11","reversion_add_lower","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250301\LimniPortfolioEA_EightcapGlobal_Live_1740787200_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250301\LimniPortfolioEA_EightcapGlobal_Live_1740787200_summary.csv"
"scan_20250401","2025-04-01","2025-04-11","True","2025.04.01 00:03:00","LONG","BELOW","REVERSION","reversion_add_lower","MEDIUM_50000","0.10","322","0","2025.04.01 00:04:00","reversion_add_lower","in_memory","","","","","","","","","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250401\LimniPortfolioEA_EightcapGlobal_Live_1743465600_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250401\LimniPortfolioEA_EightcapGlobal_Live_1743465600_summary.csv"
"scan_20250501","2025-05-01","2025-05-11","True","2025.05.01 00:03:00","LONG","BELOW","REVERSION","reversion_add_lower","MEDIUM_50000","0.10","58","2","2025.05.01 00:04:00","reversion_add_lower","in_memory","2025.05.01 00:47:00","LONG","CONTINUATION","10","LONG","REVERSION","11","reversion_add_lower","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250501\LimniPortfolioEA_EightcapGlobal_Live_1746057600_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250501\LimniPortfolioEA_EightcapGlobal_Live_1746057600_summary.csv"
"scan_20250601","2025-06-01","2025-06-11","True","2025.06.02 00:03:00","LONG","BELOW","REVERSION","reversion_add_lower","MEDIUM_50000","0.10","66","0","2025.06.02 00:04:00","reversion_add_lower","in_memory","","","","","","","","","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250601\LimniPortfolioEA_EightcapGlobal_Live_1748736000_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250601\LimniPortfolioEA_EightcapGlobal_Live_1748736000_summary.csv"
"scan_20250701","2025-07-01","2025-07-11","True","2025.07.01 00:03:00","SHORT","BELOW","CONTINUATION","continuation_add_lower","MEDIUM_50000","0.10","25","5","2025.07.01 00:10:00","continuation_add_lower","in_memory","2025.07.01 16:44:00","LONG","REVERSION","11","SHORT","CONTINUATION","10","continuation_add_lower","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250701\LimniPortfolioEA_EightcapGlobal_Live_1751328000_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250701\LimniPortfolioEA_EightcapGlobal_Live_1751328000_summary.csv"
"scan_20250801","2025-08-01","2025-08-11","True","2025.08.01 00:03:00","SHORT","BELOW","CONTINUATION","continuation_add_lower","MEDIUM_50000","0.10","6","1","2025.08.01 00:11:00","continuation_add_lower","in_memory","2025.08.04 00:04:00","LONG","REVERSION","11","SHORT","CONTINUATION","10","continuation_add_lower","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250801\LimniPortfolioEA_EightcapGlobal_Live_1754006400_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250801\LimniPortfolioEA_EightcapGlobal_Live_1754006400_summary.csv"
"scan_20250901","2025-09-01","2025-09-11","True","2025.09.01 00:03:00","SHORT","ABOVE","REVERSION","reversion_add_higher","MEDIUM_50000","0.10","55","20","2025.09.01 00:06:00","reversion_add_higher","in_memory","2025.09.10 10:10:00","LONG","CONTINUATION","10","SHORT","REVERSION","11","reversion_add_higher","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250901\LimniPortfolioEA_EightcapGlobal_Live_1756684800_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20250901\LimniPortfolioEA_EightcapGlobal_Live_1756684800_summary.csv"
"scan_20251001","2025-10-01","2025-10-11","True","2025.10.01 00:03:00","SHORT","ABOVE","REVERSION","reversion_add_higher","MEDIUM_50000","0.10","38","0","2025.10.01 00:10:00","reversion_add_higher","in_memory","","","","","","","","","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20251001\LimniPortfolioEA_EightcapGlobal_Live_1759276800_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Gate99ZZA_AUDCHF_scan_20251001\LimniPortfolioEA_EightcapGlobal_Live_1759276800_summary.csv"
