"time","receipt_type","status","detail"
"2026.01.02 00:04:30","revma_reentry_gate","startup_state_observed","system_id=revma-v001|source_m1_time=2026.01.02 00:03:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=false|reason=flat_attach_observe_current_state"
"2026.01.02 00:04:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:03:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=startup_current_state_not_birth_event"
"2026.01.02 00:05:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:04:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:06:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:05:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:07:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:06:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:08:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:07:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:09:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:08:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:10:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:09:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:11:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:10:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:12:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:11:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:13:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:12:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:14:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:13:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:15:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:14:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:16:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:15:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:17:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:16:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:18:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:17:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
