symbol,source_timeframe,comparison_type,anchor_shift_bars,phase_shift_q,anchor_requested,reference_anchor_resolved,candidate_anchor_resolved,end_resolved,comparison_bars,source_bars,terminal_max_bars,baseline_bootstrap_bars,variant_bootstrap_bars,median_brick_window,baseline_q,variant_q,q_change_pct,baseline_base_price,variant_base_price,base_delta_in_q,baseline_closed_bricks,variant_closed_bricks,mean_abs_pips,max_abs_pips,p50_abs_pips,p95_abs_pips,p99_abs_pips,mean_abs_q,max_abs_q,p50_abs_q,p95_abs_q,p99_abs_q,side_disagreement_pct
AUDCAD.i,PERIOD_M1,reference,0,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,720,55,0.0007433,0.0007433,0.0000,0.95396,0.95396,0.000000,1670,1670,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000
AUDCAD.i,PERIOD_M1,scale_q_window_base_held,0,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,1440,55,0.0007433,0.0008592,15.5896,0.95396,0.95396,0.000000,1670,1286,8.610,62.062,5.878,27.018,49.316,1.158423,8.349770,0.790811,3.634915,6.634915,7.7792
AUDCAD.i,PERIOD_M1,scale_q_window_base_held,0,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,4320,55,0.0007433,0.0037994,411.1688,0.95396,0.95396,0.000000,1670,80,58.724,143.675,51.238,136.243,142.865,7.900677,19.329874,6.893502,18.329874,19.220781,32.6890
AUDCAD.i,PERIOD_M1,scale_q_window_base_held,0,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,10080,55,0.0007433,0.0058489,686.8953,0.95396,0.95396,0.000000,1670,31,61.604,145.120,56.900,130.254,145.120,8.288113,19.524188,7.655235,17.524188,19.524188,28.7570
AUDCAD.i,PERIOD_M1,scale_q_window_base_held,0,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,43200,55,0.0007433,0.0098035,1218.9417,0.95396,0.95396,0.000000,1670,11,51.162,168.139,41.781,126.555,168.139,6.883271,22.621165,5.621165,17.026457,22.621165,31.6462
AUDCAD.i,PERIOD_M1,phase_base_shift_q_held,0,-0.5000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,720,55,0.0007433,0.0007433,0.0000,0.95396,0.95359,-0.500000,1670,1672,5.582,40.881,3.716,11.149,18.582,0.751052,5.500000,0.500000,1.500000,2.500000,6.8879
AUDCAD.i,PERIOD_M1,phase_base_shift_q_held,0,-0.2500,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,720,55,0.0007433,0.0007433,0.0000,0.95396,0.95377,-0.250000,1670,1710,5.008,31.589,5.575,13.007,20.440,0.673823,4.250000,0.750000,1.750000,2.750000,6.3506
AUDCAD.i,PERIOD_M1,phase_base_shift_q_held,0,0.2500,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,720,55,0.0007433,0.0007433,0.0000,0.95396,0.95415,0.250000,1670,1648,4.502,27.873,1.858,13.007,20.440,0.605687,3.750000,0.250000,1.750000,2.750000,4.9887
AUDCAD.i,PERIOD_M1,phase_base_shift_q_held,0,0.5000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 08:01,2026.07.06 05:08,100306,100306,100000000,720,720,55,0.0007433,0.0007433,0.0000,0.95396,0.95433,0.500000,1670,1673,5.584,40.881,3.716,11.149,18.582,0.751201,5.500000,0.500000,1.500000,2.500000,6.8650
AUDCAD.i,PERIOD_M1,anchor_shift_q_and_base,720,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.30 20:01,2026.07.06 05:08,99586,100306,100000000,720,720,55,0.0007433,0.0009463,27.3094,0.95396,0.95477,1.089761,1670,1046,13.591,68.339,10.735,42.496,58.049,1.828544,9.194255,1.444312,5.717406,7.809784,12.5379
AUDCAD.i,PERIOD_M1,anchor_shift_q_and_base,1440,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.03.31 08:07,2026.07.06 05:08,98866,100306,100000000,720,720,55,0.0007433,0.0017891,140.6985,0.95396,0.95323,-0.982131,1670,306,40.179,155.697,32.364,121.039,139.319,5.405631,20.947207,4.354192,16.284345,18.743715,25.6094
AUDCAD.i,PERIOD_M1,anchor_shift_q_and_base,4320,0.0000,2014.01.01 00:00,2026.03.30 08:01,2026.04.02 08:16,2026.07.06 05:08,95986,100306,100000000,720,720,55,0.0007433,0.0025312,240.5496,0.95396,0.95685,3.888161,1670,151,41.296,120.357,34.777,107.496,114.929,5.555851,16.192605,4.678866,14.462379,15.462379,25.7923
