id,title,doi,arxiv,url,pdf_path,sha256,bytes,status,license,source_provider,downloaded_at,failure_reason,text_path,extraction_status,extraction_failure_reason
2006-avellaneda-stoikov-hft-limit-order-book,High-Frequency Trading in a Limit Order Book,,,https://people.orie.cornell.edu/sfs33/LimitOrderBook.pdf,docs/research/papers/pdf/High-Frequency Trading in a Limit Order Book.pdf,7A53A062CE5786167B592C457975EDF212656615F36D6EAE148BF410E63858DE,192083,EXISTS,,direct_pdf,2026-07-07T19:24:57.194Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2010-cont-stoikov-talreja-order-book-dynamics,A Stochastic Model for Order Book Dynamics,,,https://www.columbia.edu/~ww2040/orderbook.pdf,docs/research/papers/pdf/A Stochastic Model for Order Book Dynamics.pdf,23181104D259F7A17D8A9CF66C24FD26BA02D363FE509E20D90A27555C2967E2,233125,EXISTS,,direct_pdf,2026-07-07T19:24:57.627Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2013-hoffmann-dynamic-limit-order-market,A Dynamic Limit Order Market with Fast and Slow Traders,,,https://www.ecb.europa.eu/pub/pdf/scpwps/ecbwp1526.pdf,docs/research/papers/pdf/A Dynamic Limit Order Market with Fast and Slow Traders.pdf,2BC89D18771A0028496B0F6AFE559D066F415DAAE56FBD5F1BF046CD4B58FC8A,762183,EXISTS,,direct_pdf,2026-07-07T19:24:58.828Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2019-law-pure-jump-market-making,A Pure-Jump Market-Making Model for High-Frequency Trading under a Limit Order Book,,1912.12810,https://arxiv.org/abs/1912.12810,docs/research/papers/pdf/A Pure-Jump Market-Making Model for High-Frequency Trading Under a Limit Order Book.pdf,9C1540B9A7E076496123CAE833B55D89DC555884C79AA1FBD59A9823718FD5D0,142703,EXISTS,,arxiv,2026-07-07T19:24:59.302Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2024-chen-shue-limit-order-book-rough-volatility,A Limit Order Book Model for High Frequency Trading with Rough Volatility,,2412.16850,https://arxiv.org/abs/2412.16850,docs/research/papers/pdf/A Limit Order Book Model for High Frequency Trading with Rough Volatility.pdf,197CC40E1C117AA3CB7E587020D45BA5E5CB010FE4F45C5E9D6502492A654268,1049084,EXISTS,,arxiv,2026-07-07T19:24:59.777Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2013-hasbrouck-saar-low-latency-trading,Low-Latency Trading,,,https://pages.stern.nyu.edu/~jhasbrou/Research/lowLatencyTrading/lowLatencyTradingHasbrouckSaarJFM.pdf,docs/research/papers/pdf/Low-Latency Trading.pdf,B253FB5F00C16E1BB91616F8D889A706751A931881E685734EB173DEEADB61E0,489285,EXISTS,,direct_pdf,2026-07-07T19:25:00.497Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2019-chordia-market-efficiency-real-time-low-latency,Market Efficiency in Real Time: Evidence from Low Latency Trading,,,https://mitsloan.mit.edu/sites/default/files/inline-files/Chordia_Miao.pdf,docs/research/papers/pdf/Market Efficiency in Real Time Evidence from Low Latency Trading.pdf,5264BAB8757A61E0038D6FBE833BFDA9FD4941543F32DC54B94C9101657B57CB,1072346,EXISTS,,direct_pdf,2026-07-07T19:25:00.915Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2013-boehmer-shankar-low-latency-comovement,"Low Latency Trading and the Comovement of Order Flow, Prices, and Market Conditions",,,https://w4.stern.nyu.edu/finance/docs/WP/2014/Low%20latency%20trading%20and%20comovement.pdf,"docs/research/papers/pdf/Low Latency Trading and the Comovement of Order Flow, Prices, and Market Conditions.pdf",31E613EB30AABE57EB69B3989418EC975482AAC29DA27D63B8B95C925C69408B,256864,DOWNLOADED,,direct_pdf,2026-07-07T19:26:45.327Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2012-moskowitz-ooi-pedersen-time-series-momentum,Time Series Momentum,,,https://w4.stern.nyu.edu/facdir/lpederse/papers/TimeSeriesMomentum.pdf,docs/research/papers/pdf/Time Series Momentum.pdf,7682F8E97EB4B77591DC85E36731FF51ED031970CDDE81678108734DB9478379,976459,EXISTS,,direct_pdf,2026-07-07T19:25:02.828Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2013-asness-moskowitz-pedersen-value-momentum-everywhere,Value and Momentum Everywhere,,,https://pages.stern.nyu.edu/~lpederse/papers/ValMomEverywhere.pdf,docs/research/papers/pdf/Value and Momentum Everywhere.pdf,400DA98388D426C97172DDBFF80630DE6FCEE6D54510243A139504486D317393,2101841,EXISTS,,direct_pdf,2026-07-07T19:25:03.752Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
2019-gupta-kelly-factor-momentum-everywhere,Factor Momentum Everywhere,,,https://www.aqr.com/-/media/AQR/Documents/Insights/Journal-Article/Factor-Momentum-Everywhere-JPM-Quant-19.pdf?sc_lang=en,docs/research/papers/pdf/Factor Momentum Everywhere.pdf,C7577C1DB1C457E2C2186C1B53410B0C12FFBA61F5B20835A34705AE8C41C49E,3363328,EXISTS,,direct_pdf,2026-07-07T19:25:05.537Z,,,EXTRACTOR_NOT_FOUND,Install poppler pdftotext and rerun ingestion.
