id,title,authors,year,doi,arxiv,url,source_type,notes
2006-avellaneda-stoikov-hft-limit-order-book,"High-Frequency Trading in a Limit Order Book","Marco Avellaneda; Sasha Stoikov","2006","","","https://people.orie.cornell.edu/sfs33/LimitOrderBook.pdf","DIRECT_PDF","From 169-link list; Cornell-hosted PDF."
2010-cont-stoikov-talreja-order-book-dynamics,"A Stochastic Model for Order Book Dynamics","Rama Cont; Sasha Stoikov; Rishi Talreja","2010","","","https://www.columbia.edu/~ww2040/orderbook.pdf","DIRECT_PDF","From 51-row CSV; Columbia-hosted PDF."
2013-hoffmann-dynamic-limit-order-market,"A Dynamic Limit Order Market with Fast and Slow Traders","Peter Hoffmann","2013","","","https://www.ecb.europa.eu/pub/pdf/scpwps/ecbwp1526.pdf","DIRECT_PDF","From 51-row CSV; ECB working paper PDF."
2019-law-pure-jump-market-making,"A Pure-Jump Market-Making Model for High-Frequency Trading under a Limit Order Book","Bradley Law","2019","","1912.12810","https://arxiv.org/abs/1912.12810","ARXIV","From 51-row CSV; arXiv paper."
2024-chen-shue-limit-order-book-rough-volatility,"A Limit Order Book Model for High Frequency Trading with Rough Volatility","Yun Chen-Shue; Yukun Li; Jiongmin Yong","2024","","2412.16850","https://arxiv.org/abs/2412.16850","ARXIV","From 51-row CSV; arXiv paper found from AIMS source."
2013-hasbrouck-saar-low-latency-trading,"Low-Latency Trading","Joel Hasbrouck; Gideon Saar","2013","","","https://pages.stern.nyu.edu/~jhasbrou/Research/lowLatencyTrading/lowLatencyTradingHasbrouckSaarJFM.pdf","DIRECT_PDF","From both lists; NYU Stern author-hosted PDF."
2019-chordia-market-efficiency-real-time-low-latency,"Market Efficiency in Real Time: Evidence from Low Latency Trading","Tarun Chordia; Amit Goyal; Narasimhan Jegadeesh; Hitesh Shah; Avanidhar Subrahmanyam","2019","","","https://mitsloan.mit.edu/sites/default/files/inline-files/Chordia_Miao.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; MIT-hosted PDF."
2013-boehmer-shankar-low-latency-comovement,"Low Latency Trading and the Comovement of Order Flow, Prices, and Market Conditions","Ekkehart Boehmer; R. L. Shankar","2014","","","https://w4.stern.nyu.edu/finance/docs/WP/2014/Low%20latency%20trading%20and%20comovement.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; NYU Stern PDF used because ABFER returned HTTP 403 to the runner."
2012-moskowitz-ooi-pedersen-time-series-momentum,"Time Series Momentum","Tobias J. Moskowitz; Yao Hua Ooi; Lasse H. Pedersen","2012","","","https://w4.stern.nyu.edu/facdir/lpederse/papers/TimeSeriesMomentum.pdf","DIRECT_PDF","From both lists; NYU Stern author-hosted PDF."
2013-asness-moskowitz-pedersen-value-momentum-everywhere,"Value and Momentum Everywhere","Clifford S. Asness; Tobias J. Moskowitz; Lasse H. Pedersen","2013","","","https://pages.stern.nyu.edu/~lpederse/papers/ValMomEverywhere.pdf","DIRECT_PDF","From 169-link list; NYU Stern author-hosted PDF."
2019-gupta-kelly-factor-momentum-everywhere,"Factor Momentum Everywhere","Tarun Gupta; Bryan T. Kelly","2019","","","https://www.aqr.com/-/media/AQR/Documents/Insights/Journal-Article/Factor-Momentum-Everywhere-JPM-Quant-19.pdf?sc_lang=en","DIRECT_PDF","From 51-row CSV and 169-link list; AQR PDF."
2011-burnside-carry-trades-risk,"Carry Trades and Risk","Craig Burnside","2011","","","https://www.nber.org/system/files/working_papers/w17278/w17278.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; NBER working paper PDF."
2008-brunnermeier-nagel-pedersen-carry-trades-currency-crashes,"Carry Trades and Currency Crashes","Markus K. Brunnermeier; Stefan Nagel; Lasse H. Pedersen","2008","","","https://markus.scholar.princeton.edu/sites/g/files/toruqf2651/files/carry_trades_currency_crashes.pdf","DIRECT_PDF","From 169-link list; Princeton author page PDF."
2011-burnside-eichenbaum-rebelo-carry-trade-momentum,"Carry Trade and Momentum in Currency Markets","Craig Burnside; Martin Eichenbaum; Sergio Rebelo","2011","","","https://www.kellogg.northwestern.edu/faculty/rebelo/htm/carry.pdf","DIRECT_PDF","From 51-row CSV; Northwestern-hosted PDF."
2014-nbim-currency-carry-trade,"The Currency Carry Trade","NBIM","2014","","","https://www.nbim.no/globalassets/documents/dicussion-paper/2014/discussionnote_currency-carry-trade.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; NBIM discussion note PDF."
2026-van-wijnbergen-kutuk-carry-trade-currency-crash-risk,"Carry Trade and Currency Crash Risk","Sweder van Wijnbergen; Merve Kutuk","2026","","","https://www.econstor.eu/bitstream/10419/331486/1/1938271572.pdf","DIRECT_PDF","From 51-row CSV and 169-link list; EconStor PDF used instead of SSRN source page."
