pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
EURCHF,long,2020-01-07 03:50:00-05:00,1.08384,1.0839349999999999,1.0832600000000001,1.08784,2020-01-07 06:00:00-05:00,1.0854,1.085305,13.700000000000934,2.029629629630492,time_stop,1.5,0.2,1.08496,1.08406
AUDCAD,short,2020-01-08 05:00:00-05:00,0.89364,0.8935449999999999,0.89436,0.88964,2020-01-08 06:00:00-05:00,0.89382,0.893915,3.7000000000009248,0.45398773006139564,time_stop,1.5,0.2,0.89358,0.89042
CADCHF,long,2020-01-09 05:05:00-05:00,0.74652,0.746615,0.74608,0.75052,2020-01-09 05:15:00-05:00,0.74608,0.7459849999999999,-6.300000000001305,-1.1775700934580486,sl,1.5,0.2,0.74764,0.74654
EURCHF,long,2020-01-09 05:45:00-05:00,1.08212,1.082215,1.0812,1.08612,2020-01-09 06:00:00-05:00,1.0821,1.082005,-2.0999999999982144,-0.20689655172396443,time_stop,1.5,0.2,1.08299,1.08144
NZDUSD,short,2020-01-10 03:35:00-05:00,0.66192,0.6618249999999999,0.66266,0.65792,2020-01-10 06:00:00-05:00,0.6616,0.661695,-1.2999999999985246,-0.155688622754288,time_stop,1.5,0.2,0.66198,0.66018
EURAUD,long,2020-01-10 04:00:00-05:00,1.615,1.615095,1.61408,1.619,2020-01-10 04:20:00-05:00,1.61408,1.613985,-11.099999999999444,-1.0935960591132585,sl,1.5,0.2,1.62127,1.61532
EURJPY,long,2020-01-10 04:00:00-05:00,121.63,121.63949999999998,121.56299999999999,122.03,2020-01-10 04:10:00-05:00,121.56299999999999,121.5535,-8.599999999998431,-1.1241830065358045,sl,1.5,0.2,121.732,121.596
AUDCAD,short,2020-01-13 03:50:00-05:00,0.90216,0.9020649999999999,0.9033599999999999,0.89816,2020-01-13 06:00:00-05:00,0.9008,0.9008950000000001,-11.699999999997823,-0.9034749034747032,time_stop,1.5,0.2,0.90312,0.90122
EURCHF,long,2020-01-13 05:20:00-05:00,1.08148,1.081575,1.08094,1.08548,2020-01-13 06:00:00-05:00,1.0815,1.081405,-1.7000000000000348,-0.26771653543310114,time_stop,1.5,0.2,1.08278,1.08184
USDCHF,long,2020-01-13 05:25:00-05:00,0.9729,0.972995,0.97222,0.9769,2020-01-13 06:00:00-05:00,0.9726,0.972505,-4.900000000001015,-0.6322580645161937,time_stop,1.5,0.2,0.97358,0.9725
AUDUSD,short,2020-01-14 03:25:00-05:00,0.69005,0.689955,0.69108,0.68605,2020-01-14 06:00:00-05:00,0.68975,0.689845,-1.0999999999994348,-0.09777777777772383,time_stop,1.5,0.2,0.69084,0.68854
NZDUSD,short,2020-01-14 03:25:00-05:00,0.66269,0.6625949999999999,0.66353,0.65869,2020-01-14 06:00:00-05:00,0.6616,0.661695,-8.999999999999009,-0.9625668449196604,time_stop,1.5,0.2,0.66316,0.66154
USDJPY,long,2020-01-14 03:35:00-05:00,109.927,109.9365,109.875,110.32700000000001,2020-01-14 06:00:00-05:00,110.038,110.02850000000001,9.200000000001296,1.4959349593499203,time_stop,1.5,0.2,110.214,109.998
EURCHF,long,2020-01-14 04:00:00-05:00,1.07926,1.079355,1.07842,1.0832600000000001,2020-01-14 05:25:00-05:00,1.07842,1.078325,-10.300000000000864,-1.1016042780748054,sl,1.5,0.2,1.08173,1.0809
USDCHF,long,2020-01-14 04:00:00-05:00,0.96924,0.9693350000000001,0.96843,0.97324,2020-01-14 05:55:00-05:00,0.96843,0.968335,-10.000000000001119,-1.1049723756906769,sl,1.5,0.2,0.97131,0.97021
GBPJPY,long,2020-01-15 03:40:00-05:00,143.048,143.0575,142.959,143.448,2020-01-15 03:45:00-05:00,142.959,142.9495,-10.80000000000041,-1.0964467005076406,sl,1.5,0.2,143.208,143.042
USDCHF,long,2020-01-15 03:45:00-05:00,0.9667,0.9667950000000001,0.96619,0.9707,2020-01-15 03:50:00-05:00,0.96619,0.9660949999999999,-7.0000000000014495,-1.1570247933885207,sl,1.5,0.2,0.96754,0.9669
EURJPY,long,2020-01-15 05:20:00-05:00,122.286,122.29549999999999,122.202,122.686,2020-01-15 06:00:00-05:00,122.44,122.43050000000001,13.500000000001933,1.443850267380014,time_stop,1.5,0.2,122.398,122.242
EURNZD,long,2020-01-16 05:05:00-05:00,1.67868,1.678775,1.6776,1.68268,2020-01-16 05:10:00-05:00,1.6776,1.677505,-12.699999999998823,-1.080851063829755,sl,1.5,0.2,1.68508,1.6806
EURNZD,long,2020-01-17 03:40:00-05:00,1.67572,1.675815,1.67468,1.67972,2020-01-17 04:40:00-05:00,1.675815,1.67572,-0.9499999999995623,-0.08370044052858783,sl,1.5,0.2,1.67962,1.6756
